,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,updated_github_id,trending
76,rust-tokenizers,guillaume-be/rust-tokenizers,nlp,https://github.com/guillaume-be/rust-tokenizers,https://github.com/guillaume-be/rust-tokenizers,Apache-2.0,2019-11-09 16:14:11,2021-06-24 14:10:16,2021-06-24 14:10:16,9.0,1.0,5.0,88.0,351.0,,,,,,"Rust-tokenizer offers high-performance tokenizers for modern language models, including WordPiece, Byte-Pair Encoding..",2.0,10,False,2,,,,,
77,torchrs,torchrs/torchrs,ml-frameworks,https://github.com/torchrs/torchrs,https://github.com/torchrs/torchrs,BSD-2-Clause,2017-05-27 21:57:45,2017-07-16 00:27:45,2017-07-16 00:27:34,11.0,1.0,,75.0,532.0,,,,,,Deep Learning in Rust with the PyTorch API.,,10,False,3,,,['binding'],,
78,rust-stemmers,CurrySoftware/rust-stemmers,nlp,https://github.com/CurrySoftware/rust-stemmers,https://github.com/CurrySoftware/rust-stemmers,MIT,2017-02-07 13:00:30,2021-05-14 07:08:54,2021-05-13 07:18:43,12.0,,3.0,64.0,51.0,,,,,,A rust implementation of some popular snowball stemming algorithms.,5.0,10,False,2,,,,,
79,ffsvm-rust,ralfbiedert/ffsvm-rust,ml-frameworks,https://github.com/ralfbiedert/ffsvm-rust,https://github.com/ralfbiedert/ffsvm-rust,MIT,2017-12-10 16:52:20,2019-12-20 23:08:07,2019-06-07 10:54:07,6.0,2.0,6.0,43.0,318.0,,,,,,FFSVM stands for Really Fast Support Vector Machine.,,10,False,3,,,,,
80,deepfrog,proycon/deepfrog,nlp,https://github.com/proycon/deepfrog,https://github.com/proycon/deepfrog,GPL-3.0,2020-02-12 12:28:13,2021-04-18 16:58:48,2021-04-18 16:58:45,1.0,5.0,3.0,15.0,128.0,2021-04-11 13:32:18,0.2.1,,,2.0,An NLP-suite powered by deep learning.,,10,False,2,,,,,
81,rustdef,emakryo/rustdef,ml-frameworks,https://github.com/emakryo/rustdef,https://github.com/emakryo/rustdef,MIT,2020-01-26 04:08:22,2021-06-14 05:15:10,2021-05-31 11:00:56,,2.0,3.0,12.0,53.0,2021-01-03 12:09:22,0.2.0,,,4.0,Jupyter extension for rust.,2.0,10,False,3,,,,,
82,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,Apache-2.0,2019-05-08 05:14:51,2021-06-21 02:37:58,2021-04-29 16:40:54,16.0,25.0,19.0,141.0,,,,,,,SmartCore is a comprehensive library for machine learning and numerical computing. The library provides a set of tools..,14.0,9,False,3,,,,,
83,vtext,rth/vtext,nlp,https://github.com/rth/vtext,https://github.com/rth/vtext,Apache-2.0,2018-11-05 09:02:15,2021-06-15 20:48:37,2020-06-18 21:00:31,10.0,11.0,7.0,114.0,,,,,,,Simple NLP in Rust with Python bindings.,3.0,9,False,3,,,,,
84,kdtree-rs,mrhooray/kdtree-rs,ml-frameworks,https://github.com/mrhooray/kdtree-rs,https://github.com/mrhooray/kdtree-rs,,2015-07-29 05:20:17,2021-05-13 02:26:34,2021-05-13 02:26:34,23.0,1.0,13.0,104.0,85.0,,,,,,K-dimensional tree in Rust for fast geospatial indexing and lookup.,14.0,9,False,3,,,,,
85,alumina,millardjn/alumina,ml-frameworks,https://github.com/millardjn/alumina,https://github.com/millardjn/alumina,,2017-02-06 15:57:08,2021-06-22 13:26:58,2021-06-22 13:26:42,6.0,3.0,,77.0,245.0,,,,,,A deep learning library for rust.,,9,False,3,,,,,-1.0
86,NeuroFlow,MikhailKravets/NeuroFlow,ml-frameworks,https://github.com/MikhailKravets/NeuroFlow,https://github.com/MikhailKravets/NeuroFlow,MIT,2017-06-22 18:45:50,2021-01-29 17:43:28,2018-01-07 20:12:50,3.0,1.0,1.0,53.0,194.0,,,,,,Awesome deep learning crate.,2.0,9,False,3,,,,,
87,tractjs,bminixhofer/tractjs,ml-frameworks,https://github.com/bminixhofer/tractjs,https://github.com/bminixhofer/tractjs,,2020-05-24 07:46:54,2021-06-11 19:14:41,2021-02-27 08:44:11,6.0,3.0,11.0,53.0,,2021-02-27 08:43:51,0.3.4,8.0,0.0,10.0,Run ONNX and TensorFlow inference in the browser.,2.0,9,False,3,,,,,
88,rustml,daniel-e/rustml,ml-frameworks,https://github.com/daniel-e/rustml,https://github.com/daniel-e/rustml,,2015-06-23 13:59:00,2018-01-31 13:53:22,2018-01-31 13:53:17,6.0,2.0,3.0,46.0,332.0,2015-10-07 20:05:27,0.0.5,,,4.0,Machine learning in Rust.,2.0,9,False,3,,,,,
89,tflite-rs,boncheolgu/tflite-rs,ml-frameworks,https://github.com/boncheolgu/tflite-rs,https://github.com/boncheolgu/tflite-rs,,2018-10-23 13:13:57,2021-06-08 11:51:50,2021-06-08 11:48:39,21.0,10.0,9.0,42.0,151.0,,,,,,,8.0,9,False,3,,,,,
90,dpar,danieldk/dpar,nlp,https://github.com/danieldk/dpar,https://github.com/danieldk/dpar,Apache-2.0,2015-03-18 10:17:41,2020-09-14 12:16:26,2020-09-14 12:16:07,3.0,5.0,6.0,39.0,58.0,,,,,,Neural network transition-based dependency parser (in Rust).,3.0,9,False,3,,,,,
91,levenshtein-automata,tantivy-search/levenshtein-automata,nlp,https://github.com/tantivy-search/levenshtein-automata,https://github.com/tantivy-search/levenshtein-automata,MIT,2017-11-16 00:26:08,2021-06-01 09:28:56,2021-05-18 12:20:26,7.0,1.0,4.0,36.0,25.0,2020-03-30 00:38:52,0.2.0,,,1.0,,2.0,9,False,3,,,,,
92,rurel,milanboers/rurel,ml-frameworks,https://github.com/milanboers/rurel,https://github.com/milanboers/rurel,MPL-2.0,2017-03-05 09:40:12,2021-03-27 09:39:28,2021-03-27 09:34:51,6.0,1.0,1.0,30.0,33.0,,,,,,"Flexible, reusable reinforcement learning (Q learning) implementation in Rust.",3.0,9,False,3,,,,,
93,visual-odometry-rs,mpizenberg/visual-odometry-rs,image,https://github.com/mpizenberg/visual-odometry-rs,https://github.com/mpizenberg/visual-odometry-rs,MPL-2.0,2018-03-26 08:10:34,2020-01-17 19:04:01,2019-03-25 14:16:01,1.0,6.0,1.0,28.0,299.0,,,,,,Visual Odometry in Rust (vors).,,9,False,3,,,,,
94,visionmagic,visioncortex/visionmagic,image,https://github.com/visioncortex/visionmagic,https://github.com/visioncortex/visionmagic,,2020-12-16 15:07:32,2021-05-27 14:53:41,2021-05-27 14:53:35,2.0,,,27.0,27.0,2020-12-18 17:16:23,0.1.2,,,3.0,Collection of vision & graphics algorithms.,,9,False,3,,,,,
95,chr,pemistahl/chr,nlp,https://github.com/pemistahl/chr,https://github.com/pemistahl/chr,Apache-2.0,2020-06-22 07:50:18,2021-01-14 10:14:41,2021-01-05 20:35:25,1.0,1.0,,22.0,35.0,2021-01-05 20:46:19,1.0.0,10.0,2.0,1.0,A command-line tool that gives information about Unicode characters.,,9,False,3,,,,,
96,RusticSOM,avinashshenoy97/RusticSOM,ml-frameworks,https://github.com/avinashshenoy97/RusticSOM,https://github.com/avinashshenoy97/RusticSOM,MIT,2018-03-04 07:44:42,2020-10-14 21:10:03,2020-10-07 18:54:35,5.0,,,21.0,48.0,,,,,,Rust library for Self Organising Maps (SOM).,5.0,9,False,3,,,,,
97,rust-tfrecord,jerry73204/rust-tfrecord,data-loading,https://github.com/jerry73204/rust-tfrecord,https://github.com/jerry73204/rust-tfrecord,MIT,2019-11-06 17:35:02,2021-06-26 03:53:31,2021-06-26 03:53:22,5.0,1.0,1.0,14.0,164.0,,,,,,A Rust crate that reads and writes tfrecord files.,2.0,9,False,3,,,,,
98,gazetteer-entity-parser,snipsco/gazetteer-entity-parser,nlp,https://github.com/snipsco/gazetteer-entity-parser,https://github.com/snipsco/gazetteer-entity-parser,,2018-06-12 07:13:37,2019-12-06 14:10:32,2019-12-06 14:10:28,17.0,1.0,1.0,14.0,231.0,2019-08-27 13:51:07,0.8.0,,,8.0,Rust library for parsing and resolving entity values based on a gazetteer.,8.0,9,False,3,,,,,
99,snips-nlu-parsers,snipsco/snips-nlu-parsers,nlp,https://github.com/snipsco/snips-nlu-parsers,https://github.com/snipsco/snips-nlu-parsers,,2019-01-22 12:45:41,2020-01-24 10:14:32,2020-01-24 10:13:48,32.0,2.0,2.0,11.0,102.0,2020-01-24 10:14:32,0.4.3,196.0,6.0,13.0,Rust crate for entity parsing.,5.0,9,False,3,,,,,
100,sentencepiece,danieldk/sentencepiece,nlp,https://github.com/danieldk/sentencepiece,https://github.com/danieldk/sentencepiece,Apache-2.0,2020-01-22 15:30:22,2021-06-18 09:05:23,2021-06-18 09:05:17,1.0,,2.0,6.0,,2021-06-17 18:18:19,0.7.1,,,4.0,Rust binding for the sentencepiece library.,2.0,9,False,3,,,,,
101,tch-serde,jerry73204/tch-serde,data-loading,https://github.com/jerry73204/tch-serde,https://github.com/jerry73204/tch-serde,MIT,2020-07-21 21:04:15,2021-06-26 02:51:49,2021-06-26 02:51:24,3.0,,,3.0,35.0,,,,,,Serialize/Deserialize tch-rs types with serde.,3.0,9,False,3,,,,,
102,neuronika,neuronika/neuronika,ml-frameworks,https://github.com/neuronika/neuronika,https://github.com/neuronika/neuronika,MPL-2.0,2021-02-13 17:04:39,2021-06-22 07:47:51,2021-06-15 09:12:24,6.0,4.0,22.0,385.0,,,,,,,Tensors and dynamic neural networks in pure Rust.,2.0,8,False,3,,,,,
103,hal,jramapuram/hal,ml-frameworks,https://github.com/jramapuram/hal,https://github.com/jramapuram/hal,MIT,2015-07-22 20:11:09,2016-10-22 00:27:46,2016-10-22 00:24:58,9.0,5.0,,78.0,52.0,,,,,,Rust based Cross-GPU Machine Learning.,2.0,8,False,3,,,,,
104,hnsw,rust-cv/hnsw,ml-frameworks,https://github.com/rust-cv/hnsw,https://github.com/rust-cv/hnsw,BSD-2-Clause,2019-07-21 03:52:31,2021-06-26 23:21:43,2021-06-26 23:21:38,,11.0,8.0,60.0,129.0,,,,,,HNSW ANN from the paper Efficient and robust approximate nearest neighbor search using Hierarchical Navigable Small..,2.0,8,False,3,,,,,
105,kodama,diffeo/kodama,ml-frameworks,https://github.com/diffeo/kodama,https://github.com/diffeo/kodama,MIT,2017-08-07 00:12:06,2020-12-21 14:04:54,2020-12-21 14:04:53,4.0,,,50.0,38.0,,,,,,Fast hierarchical agglomerative clustering in Rust.,2.0,8,False,3,,,,,
106,sticker,stickeritis/sticker,nlp,https://github.com/stickeritis/sticker,https://github.com/stickeritis/sticker,,2019-02-15 09:35:54,2021-03-19 10:08:03,2021-03-19 10:08:00,2.0,15.0,37.0,26.0,206.0,2020-06-10 12:27:31,0.11.1,69.0,2.0,17.0,Succeeded by SyntaxDot: https://github.com/tensordot/syntaxdot.,4.0,8,False,3,,,,,
107,word2vec,dimakudosh/word2vec,nlp,https://github.com/DimaKudosh/word2vec,https://github.com/DimaKudosh/word2vec,MIT,2016-01-28 19:57:43,2019-11-04 15:30:36,2019-11-04 15:29:26,6.0,,,20.0,63.0,,,,,,Rust interface to word2vec.,5.0,8,False,3,,,,,
108,treebender,vgel/treebender,nlp,https://github.com/vgel/treebender,https://github.com/vgel/treebender,MIT,2020-10-18 21:34:55,2021-06-26 02:28:00,2021-06-26 02:27:47,,2.0,,19.0,47.0,,,,,,A HDPSG-inspired symbolic natural language parser written in Rust.,,8,False,3,,,,,
109,syntaxdot,tensordot/syntaxdot,nlp,https://github.com/tensordot/syntaxdot,https://github.com/tensordot/syntaxdot,,2020-10-07 17:49:05,2021-06-28 04:24:18,2021-06-17 19:40:41,,4.0,9.0,17.0,,2021-03-22 16:17:43,0.3.0,3.0,0.0,7.0,"Neural syntax annotator, supporting sequence labeling, lemmatization, and dependency parsing.",3.0,8,False,3,,,,,
110,crfsuite-rs,messense/crfsuite-rs,ml-frameworks,https://github.com/messense/crfsuite-rs,https://github.com/messense/crfsuite-rs,MIT,2018-01-05 07:58:56,2021-04-24 07:26:33,2021-01-27 09:27:30,,,8.0,16.0,144.0,,,,,,Rust binding to crfsuite.,,8,False,3,,,,,
111,ngt-rs,lerouxrgd/ngt-rs,ml-frameworks,https://github.com/lerouxrgd/ngt-rs,https://github.com/lerouxrgd/ngt-rs,Apache-2.0,2020-04-26 21:45:05,2021-04-15 21:51:34,2021-04-15 21:45:55,1.0,,,10.0,29.0,,,,,,Rust wrappers for NGT approximate nearest neighbor search.,,8,False,3,,,['binding'],,
112,alpino-tokenizer,danieldk/alpino-tokenizer,nlp,https://github.com/danieldk/alpino-tokenizer,https://github.com/danieldk/alpino-tokenizer,Apache-2.0,2019-10-08 07:11:10,2021-05-24 04:47:48,2020-10-08 09:13:16,,,,3.0,38.0,2020-10-08 08:49:03,0.3.0,13.0,1.0,1.0,Rust wrapper for the Alpino tokenizer.,,8,False,3,,,,,
113,rust-stop-words,cmccomb/rust-stop-words,nlp,https://github.com/cmccomb/rust-stop-words,https://github.com/cmccomb/rust-stop-words,MIT,2020-08-22 03:59:58,2021-04-05 19:44:07,2021-04-05 19:44:07,,,,3.0,57.0,,,,,,Common stop words in a variety of languages.,,8,False,3,,,,,
114,awabi,nakagami/awabi,nlp,https://github.com/nakagami/awabi,https://github.com/nakagami/awabi,MIT,2020-03-12 23:10:27,2021-06-12 03:11:06,2021-06-12 03:10:44,,,,3.0,53.0,,,,,,A morphological analyzer using mecab dictionary.,,8,False,3,,,,,
115,rstats,liborty/rstats,ml-frameworks,https://github.com/liborty/rstats,https://github.com/liborty/rstats,Apache-2.0,2020-08-30 04:06:51,2021-06-26 00:11:50,2021-06-26 00:11:37,,,,2.0,236.0,,,,,,Rust Statistics and Vector Algebra Library.,,8,False,3,,,,,2.0
116,autograph,charles-r-earp/autograph,ml-frameworks,https://github.com/charles-r-earp/autograph,https://github.com/charles-r-earp/autograph,,2019-06-17 23:43:49,2021-06-24 03:04:51,2021-06-24 03:04:47,4.0,,5.0,120.0,,,,,,,Machine Learning Library for Rust.,3.0,7,False,3,,,,,
117,gamma,metamolecular/gamma,ml-frameworks,https://github.com/metamolecular/gamma,https://github.com/metamolecular/gamma,,2020-02-14 14:48:02,2021-01-25 18:43:42,2021-01-25 18:42:39,4.0,,6.0,106.0,50.0,,,,,,A graph library for Rust.,3.0,7,False,3,,,,,
118,fwumious_wabbit,outbrain/fwumious_wabbit,ml-frameworks,https://github.com/outbrain/fwumious_wabbit,https://github.com/outbrain/fwumious_wabbit,,2020-09-14 12:52:38,2021-06-24 13:20:39,2021-05-17 06:58:48,7.0,2.0,,98.0,,,,,,,"Fwumious Wabbit, fast on-line machine learning toolkit written in Rust.",7.0,7,False,3,,,,,
119,instant-distance,InstantDomain/instant-distance,ml-frameworks,https://github.com/InstantDomain/instant-distance,https://github.com/InstantDomain/instant-distance,,2020-12-14 15:15:27,2021-06-12 05:13:53,2021-06-12 05:13:53,5.0,,1.0,96.0,,,,,,,"Fast approximate nearest neighbor searching in Rust, based on HNSW index.",5.0,7,False,3,,,,,
120,rustfst,Garvys/rustfst,nlp,https://github.com/Garvys/rustfst,https://github.com/Garvys/rustfst,,2018-09-13 21:21:45,2021-06-24 15:54:19,2021-06-24 15:54:00,6.0,11.0,15.0,71.0,,2020-02-04 13:53:05,rustfst-v0.5.0,,,1.0,"Rust re-implementation of OpenFST - library for constructing, combining, optimizing, and searching weighted finite-..",8.0,7,False,3,,,,,1.0
121,fasttext-rs,messense/fasttext-rs,nlp,https://github.com/messense/fasttext-rs,https://github.com/messense/fasttext-rs,,2018-01-18 04:08:07,2021-01-16 08:06:02,2021-01-16 08:02:59,6.0,,,29.0,97.0,,,,,,fastText Rust binding.,3.0,7,False,3,,,['binding'],,
122,word2vec-rs,mklf/word2vec-rs,nlp,https://github.com/mklf/word2vec-rs,https://github.com/mklf/word2vec-rs,,2016-11-11 16:06:12,2021-06-16 07:20:11,2021-06-16 06:43:21,8.0,1.0,,27.0,20.0,,,,,,pure rust implemention of word2vec.,3.0,7,False,3,,,,,
123,rust-dl-webserver,epwalsh/rust-dl-webserver,ml-frameworks,https://github.com/epwalsh/rust-dl-webserver,https://github.com/epwalsh/rust-dl-webserver,,2020-03-25 21:29:16,2021-06-21 18:12:54,2021-06-21 18:12:54,5.0,,,18.0,61.0,,,,,,Example of serving deep learning models in Rust with batched prediction.,3.0,7,False,3,,,,,
124,rust-sbert,cpcdoy/rust-sbert,nlp,https://github.com/cpcdoy/rust-sbert,https://github.com/cpcdoy/rust-sbert,Apache-2.0,2020-04-19 14:27:46,2021-01-21 16:25:05,2020-11-23 16:05:05,1.0,,,16.0,62.0,,,,,,Rust port of sentence-transformers (https://github.com/UKPLab/sentence-transformers).,3.0,7,False,3,,,,,
125,h2o-kubernetes,h2oai/h2o-kubernetes,mlops,https://github.com/h2oai/h2o-kubernetes,https://github.com/h2oai/h2o-kubernetes,Apache-2.0,2020-08-04 16:47:37,2021-02-24 19:02:26,2021-02-09 11:49:12,2.0,4.0,10.0,13.0,69.0,2021-02-09 11:05:13,operator-0.1.0,6.0,1.0,1.0,H2O Open Source Kubernetes operator and a command-line tool to ease deployment (and undeployment) of H2O open-source..,4.0,7,False,1,,,,,
126,craftml-rs,tomtung/craftml-rs,ml-frameworks,https://github.com/tomtung/craftml-rs,https://github.com/tomtung/craftml-rs,MIT,2018-10-05 15:05:19,2019-03-19 03:46:15,2019-03-19 03:46:03,2.0,,2.0,12.0,26.0,,,,,,"A Rust implementation of CRAFTML, an Efficient Clustering-based Random Forest for Extreme Multi-label Learning.",,7,False,3,,,,,
127,lumberjack,sebpuetz/lumberjack,nlp,https://github.com/sebpuetz/lumberjack,https://github.com/sebpuetz/lumberjack,Apache-2.0,2019-03-27 14:31:59,2020-05-05 12:29:29,2019-08-28 14:04:12,2.0,1.0,6.0,11.0,71.0,2019-05-27 12:20:25,0.3,,,2.0,Read and modify constituency trees in Rust.,2.0,7,False,3,,,,,
128,drug,CasperN/drug,ml-frameworks,https://github.com/CasperN/drug,https://github.com/CasperN/drug,MIT,2018-08-12 21:43:02,2018-10-26 16:34:55,2018-10-26 16:34:50,,,1.0,10.0,72.0,,,,,,Differentiable Rust Graphs (neural network library).,,7,False,3,,,,,
129,rust-cv-convert,jerry73204/rust-cv-convert,image,https://github.com/jerry73204/rust-cv-convert,https://github.com/jerry73204/rust-cv-convert,MIT,2021-01-12 12:43:12,2021-06-26 02:49:15,2021-06-26 02:48:52,2.0,,,10.0,54.0,,,,,,Type conversion among popular Rust computer vision libraries.,3.0,7,False,3,,,,,
130,hwt,rust-cv/hwt,ml-frameworks,https://github.com/rust-cv/hwt,https://github.com/rust-cv/hwt,MIT,2019-02-20 23:09:30,2019-05-03 19:19:07,2019-05-03 19:18:47,,4.0,5.0,6.0,147.0,,,,,,Hamming Weight Tree from the paper Online Nearest Neighbor Search in Hamming Space.,,7,False,3,,,,,
131,liblinear-rs,shademe/liblinear-rs,ml-frameworks,https://github.com/shadeMe/liblinear-rs,https://github.com/shadeMe/liblinear-rs,MIT,2018-10-02 11:55:10,2019-10-24 15:18:19,2019-10-24 15:17:49,1.0,,2.0,5.0,39.0,,,,,,Rust language bindings for the LIBLINEAR C/C++ library.,,7,False,3,,,['binding'],,
132,petal-clustering,petabi/petal-clustering,ml-frameworks,https://github.com/petabi/petal-clustering,https://github.com/petabi/petal-clustering,Apache-2.0,2019-06-06 18:31:20,2021-06-24 04:55:28,2021-06-24 04:55:27,1.0,3.0,1.0,5.0,,,,,,,DBSCAN and OPTICS clustering algorithms.,3.0,7,False,3,,,,,
133,batched-fn,epwalsh/batched-fn,ml-frameworks,https://github.com/epwalsh/batched-fn,https://github.com/epwalsh/batched-fn,Apache-2.0,2020-03-20 22:06:11,2021-05-03 17:08:53,2021-05-03 17:08:49,,1.0,,4.0,50.0,,,,,,Rust middleware for serving deep learning models with batched prediction.,2.0,7,False,3,,,,,
134,eval-metrics,benjarison/eval-metrics,interpret,https://github.com/benjarison/eval-metrics,https://github.com/benjarison/eval-metrics,,2020-05-21 04:00:07,2021-05-11 05:05:07,2021-05-11 04:41:47,,,,1.0,68.0,2021-05-11 05:05:07,0.1.0,,,1.0,Evaluation metrics for machine learning.,,7,False,1,,,,,
135,mushin,c0dearm/mushin,ml-frameworks,https://github.com/c0dearm/mushin,https://github.com/c0dearm/mushin,,2021-04-07 13:51:02,2021-04-12 10:19:52,2021-04-12 10:19:48,7.0,,,189.0,,,,,,,Compile-time creation of neural networks.,2.0,6,False,3,,,,,
136,prophet,robbepop/prophet,ml-frameworks,https://github.com/Robbepop/prophet,https://github.com/Robbepop/prophet,,2016-09-04 16:28:38,2019-07-31 09:45:36,2018-05-25 09:44:58,1.0,4.0,4.0,39.0,151.0,,,,,,A simple neural net implementation.,2.0,6,False,3,,,,,
137,cogent,JonathanWoollett-Light/cogent,ml-frameworks,https://github.com/JonathanWoollett-Light/cogent,https://github.com/JonathanWoollett-Light/cogent,,2019-09-30 01:15:30,2021-03-26 15:47:16,2021-03-26 15:47:16,2.0,,,27.0,354.0,,,,,,Simple neural network library for classification written in Rust.,2.0,6,False,3,,,,,
138,vpsearch,kornelski/vpsearch,ml-frameworks,https://github.com/kornelski/vpsearch,https://github.com/kornelski/vpsearch,,2015-06-06 13:05:10,2020-10-16 10:38:47,2020-10-16 10:38:46,4.0,2.0,2.0,25.0,63.0,,,,,,C library for finding nearest (most similar) element in a set.,2.0,6,False,3,,,,,
139,bhtsne,frjnn/bhtsne,ml-frameworks,https://github.com/frjnn/bhtsne,https://github.com/frjnn/bhtsne,MIT,2020-08-21 15:39:47,2021-03-21 15:18:08,2021-03-21 15:17:56,1.0,2.0,2.0,20.0,14.0,,,,,,Barnes-Hut t-SNE implementation written in Rust.,,6,False,3,,,,,
140,revonet,yurytsoy/revonet,ml-frameworks,https://github.com/yurytsoy/revonet,https://github.com/yurytsoy/revonet,GPL-3.0,2017-05-13 08:37:07,2017-08-20 14:10:04,2017-08-20 14:08:55,2.0,,15.0,16.0,73.0,,,,,,Rust implementation of real-coded GA for solving optimization problems and training of neural networks.,,6,False,3,,,,,
141,fann-rs,afck/fann-rs,ml-frameworks,https://github.com/afck/fann-rs,https://github.com/afck/fann-rs,LGPL-3.0,2015-06-26 15:59:52,2018-10-19 20:53:06,2018-10-19 20:52:44,,,1.0,11.0,57.0,,,,,,Rust wrapper for the Fast Artificial Neural Network library.,,6,False,3,,,,,
142,spm_precompiled,huggingface/spm_precompiled,nlp,https://github.com/huggingface/spm_precompiled,https://github.com/huggingface/spm_precompiled,Apache-2.0,2020-09-15 19:11:01,2020-10-13 06:57:55,2020-10-13 06:56:21,1.0,,,9.0,7.0,,,,,,Highly specialized crate to parse and use `google/sentencepiece` 's precompiled_charsmap in `tokenizers`.,,6,False,3,,,,,
143,bayespam,zenoxygen/bayespam,ml-frameworks,https://github.com/zenoxygen/bayespam,https://github.com/zenoxygen/bayespam,MIT,2019-10-27 05:53:16,2020-12-24 00:31:37,2020-12-24 00:31:24,1.0,,1.0,5.0,45.0,,,,,,A simple bayesian spam classifier written in Rust.,2.0,6,False,3,,,,,
144,seqalign,danieldk/seqalign,nlp,https://github.com/danieldk/seqalign,https://github.com/danieldk/seqalign,Apache-2.0,2018-03-06 14:46:35,2021-05-14 09:49:40,2021-05-14 09:49:37,,2.0,1.0,1.0,42.0,,,,,,Sequence alignments.,2.0,6,False,3,,,,,
145,reductive,finalfusion/reductive,ml-frameworks,https://github.com/finalfusion/reductive,https://github.com/finalfusion/reductive,Apache-2.0,2019-09-04 09:48:00,2021-06-23 14:26:42,2021-06-23 14:26:39,1.0,1.0,2.0,,66.0,,,,,,Vector quantization.,2.0,6,False,3,,,,,
146,cntk-rs,usamec/cntk-rs,ml-frameworks,https://github.com/usamec/cntk-rs,https://github.com/usamec/cntk-rs,,2017-10-29 16:32:42,2018-03-04 12:55:18,2018-03-04 12:55:13,,1.0,1.0,20.0,41.0,,,,,,Wrapper around Microsoft CNTK library.,,5,False,3,,,,,
147,REnforce,NivenT/REnforce,ml-frameworks,https://github.com/NivenT/REnforce,https://github.com/NivenT/REnforce,,2016-09-27 06:29:15,2017-08-03 08:09:34,2017-08-03 08:09:34,2.0,5.0,,17.0,114.0,,,,,,Reinforcement learning library written in Rust.,,5,False,3,,,,,
148,blingfire-rs,reinfer/blingfire-rs,nlp,https://github.com/reinfer/blingfire-rs,https://github.com/reinfer/blingfire-rs,MIT,2019-07-06 13:50:14,2020-06-23 16:31:02,2020-06-23 16:30:54,,,1.0,12.0,19.0,,,,,,Rust wrapper for the BlingFire tokenization library.,2.0,5,False,3,,,,,
149,rustberta-snli,allenai/rustberta-snli,nlp,https://github.com/allenai/rustberta-snli,https://github.com/allenai/rustberta-snli,,2020-10-09 22:53:16,2021-06-16 05:46:22,2021-01-05 17:19:37,,,,11.0,46.0,,,,,,A Rust implementation of a RoBERTa classification model for the SNLI dataset.,2.0,5,False,3,,,,,
150,rust-tfidf,ferristseng/rust-tfidf,nlp,https://github.com/ferristseng/rust-tfidf,https://github.com/ferristseng/rust-tfidf,,2015-04-14 01:59:21,2021-05-18 23:20:33,2021-05-18 23:20:31,2.0,2.0,2.0,9.0,25.0,,,,,,,3.0,5,False,3,,,,,
151,srx,bminixhofer/srx,nlp,https://github.com/bminixhofer/srx,https://github.com/bminixhofer/srx,,2021-02-03 11:09:47,2021-03-27 11:41:03,2021-03-27 11:38:49,2.0,1.0,2.0,3.0,16.0,2021-03-27 11:41:03,0.1.3,,,1.0,A mostly compliant Rust implementation of the Segmentation Rules eXchange (SRX) 2.0 standard for text segmentation.,3.0,5,False,3,,,,,
152,image-ssd,mermoldy/image-ssd,image,https://github.com/mermoldy/image-ssd,https://github.com/mermoldy/image-ssd,MIT,2020-08-30 21:11:13,2020-10-24 17:17:43,2020-10-24 17:17:20,,,,1.0,12.0,,,,,,A Rust library for object detection via SSD MobileNet.,,5,False,3,,,,,
153,ohnomore,danieldk/ohnomore,nlp,https://github.com/danieldk/ohnomore,https://github.com/danieldk/ohnomore,,2017-12-08 13:25:51,2021-05-14 09:51:16,2021-05-14 09:51:08,,3.0,,,95.0,,,,,,Explorations in lemmatization.,3.0,5,False,3,,,,,
154,NewsAggregator,EngineersBox/NewsAggregator,data-loading,https://github.com/EngineersBox/NewsAggregator,https://github.com/EngineersBox/NewsAggregator,Apache-2.0,2021-02-28 09:18:55,2021-06-01 07:40:45,2021-05-25 02:33:38,2.0,,,,,,,,,,"A fast, searchable news article aggregation service using various machine learning models to aggregate based on..",3.0,5,False,3,,,,,
155,wordpieces,danieldk/wordpieces,nlp,https://github.com/danieldk/wordpieces,https://github.com/danieldk/wordpieces,,2019-11-22 10:36:17,2021-04-29 16:07:11,2021-02-05 08:14:28,,,,1.0,27.0,,,,,,Split tokens into word pieces.,2.0,4,False,3,,,,,
156,aleph-alpha-tokenizer,Aleph-Alpha/aleph-alpha-tokenizer,nlp,https://github.com/Aleph-Alpha/aleph-alpha-tokenizer,https://github.com/Aleph-Alpha/aleph-alpha-tokenizer,,2020-04-15 09:07:39,2020-07-13 08:52:05,2020-07-13 08:52:00,,1.0,,5.0,16.0,,,,,,A rustic language tokenizer library inspired by huggingface's tokenizers.,2.0,3,False,3,,,,,
157,misspeller,andrew-johnson-4/misspeller,nlp,https://github.com/andrew-johnson-4/misspeller,https://github.com/andrew-johnson-4/misspeller,,2020-08-04 22:25:41,2020-12-27 22:57:27,2020-12-27 22:57:26,1.0,,,,27.0,,,,,,Take correctly spelled words and return common spelling mistakes.,2.0,3,False,3,,,,,
